date,us_date,confirmed,deaths,active,tests,positives,recovered,hosp,icu,vent,vaccines,vaccines_1,vaccines_2,population,administrative_area_level_2
14/05/2020,2020-05-14,7183,99,785,943299,7183,6299,51,18,13,0,0,0,25459470,NA
15/05/2020,2020-05-15,7214,99,779,983816,7214,6336,47,18,13,0,0,0,25459470,NA
16/05/2020,2020-05-16,7231,99,766,1015652,7231,6366,49,16,12,0,0,0,25459470,NA
17/05/2020,2020-05-17,7239,99,771,1042126,7239,6369,50,16,12,0,0,0,25459470,NA
18/05/2020,2020-05-18,7248,100,752,1062034,7248,6396,45,12,7,0,0,0,25459470,NA
19/05/2020,2020-05-19,7256,100,741,1085870,7256,6415,47,11,7,0,0,0,25459470,NA
20/05/2020,2020-05-20,7267,101,721,1111567,7267,6445,44,9,7,0,0,0,25459470,NA
21/05/2020,2020-05-21,7269,101,696,1137684,7269,6472,41,9,7,0,0,0,25459470,NA
22/05/2020,2020-05-22,7283,102,701,1170682,7283,6480,40,7,6,0,0,0,25459470,NA
23/05/2020,2020-05-23,7296,103,701,1192262,7296,6492,36,5,5,0,0,0,25459470,NA
24/05/2020,2020-05-24,7299,103,689,1224795,7299,6507,33,5,5,0,0,0,25459470,NA
25/05/2020,2020-05-25,7303,103,670,1244203,7303,6530,31,5,5,0,0,0,25459470,NA
26/05/2020,2020-05-26,7318,103,664,1288223,7318,6551,30,5,5,0,0,0,25459470,NA
27/05/2020,2020-05-27,7324,103,663,1338321,7324,6558,30,6,3,0,0,0,25459470,NA
28/05/2020,2020-05-28,7342,103,659,1367444,7342,6580,29,5,3,0,0,0,25459470,NA
29/05/2020,2020-05-29,7358,103,675,1397622,7358,6580,23,4,3,0,0,0,25459470,NA
30/05/2020,2020-05-30,7369,103,653,1428538,7369,6613,22,4,3,0,0,0,25459470,NA
31/05/2020,2020-05-31,7379,103,665,1454568,7379,6611,20,4,1,0,0,0,25459470,NA
1/06/2020,2020-06-01,7387,103,669,1472220,7387,6615,20,3,1,0,0,0,25459470,NA
2/06/2020,2020-06-02,7404,103,681,1490387,7404,6620,26,4,2,0,0,0,25459470,NA
3/06/2020,2020-06-03,7412,103,674,1512700,7412,6635,25,5,2,0,0,0,25459470,NA
4/06/2020,2020-06-04,7423,103,660,1546329,7423,6660,23,4,2,0,0,0,25459470,NA
5/06/2020,2020-06-05,7434,103,655,1579192,7434,6676,21,3,2,0,0,0,25459470,NA
6/06/2020,2020-06-06,7436,103,649,1590588,7436,6684,21,4,2,0,0,0,25459470,NA
7/06/2020,2020-06-07,7440,103,644,1617462,7440,6693,18,3,2,0,0,0,25459470,NA
8/06/2020,2020-06-08,7446,103,643,1633515,7446,6700,19,3,2,0,0,0,25459470,NA
9/06/2020,2020-06-09,7448,103,631,1650684,7448,6714,19,2,2,0,0,0,25459470,NA
10/06/2020,2020-06-10,7455,103,616,1679954,7455,6736,20,3,2,0,0,0,25459470,NA
11/06/2020,2020-06-11,7464,103,610,1711223,7464,6751,18,2,2,0,0,0,25459470,NA
12/06/2020,2020-06-12,7468,103,592,1745550,7468,6773,18,2,2,0,0,0,25459470,NA
13/06/2020,2020-06-13,7481,103,576,1782651,7481,6802,16,2,1,0,0,0,25459470,NA
14/06/2020,2020-06-14,7499,103,568,1812353,7499,6828,16,3,1,0,0,0,25459470,NA
15/06/2020,2020-06-15,7514,103,570,1828149,7514,6841,17,4,1,0,0,0,25459470,NA
16/06/2020,2020-06-16,7526,103,577,1848347,7526,6846,17,3,2,0,0,0,25459470,NA
17/06/2020,2020-06-17,7549,103,586,1881519,7549,6860,16,3,3,0,0,0,25459470,NA
18/06/2020,2020-06-18,7570,103,607,1927497,7570,6860,14,3,2,0,0,0,25459470,NA
19/06/2020,2020-06-19,7588,103,615,1970205,7588,6870,15,2,2,0,0,0,25459470,NA
20/06/2020,2020-06-20,7614,103,634,2005378,7614,6877,17,3,0,0,0,0,25459470,NA
21/06/2020,2020-06-21,7639,103,651,2041324,7639,6885,14,2,0,0,0,0,25459470,NA
22/06/2020,2020-06-22,7652,103,657,2107849,7652,6892,16,2,0,0,0,0,25459470,NA
23/06/2020,2020-06-23,7670,103,663,2132821,7670,6904,19,3,0,0,0,0,25459470,NA
24/06/2020,2020-06-24,7699,104,682,2180424,7699,6913,16,2,0,0,0,0,25459470,NA
25/06/2020,2020-06-25,7735,105,700,2232341,7735,6930,16,2,0,0,0,0,25459470,NA
26/06/2020,2020-06-26,7772,105,721,2281839,7772,6946,12,1,0,0,0,0,25459470,NA
27/06/2020,2020-06-27,7818,105,746,2336061,7818,6967,12,1,0,0,0,0,25459470,NA
